Topic,Count,Name,Representation,Representative_Docs
82,59,改装|福特|改色|囚车,"['改装', '福特', '改色', '囚车', '贴膜', '路虎', '原厂', '专用', '顺v', '348']","['13人座囚车15人座囚车福特新时代全顺v348警用囚车哪里卖','福特新时代全顺v348警用囚车车型资料','路虎揽胜星脉极光改装高配悬浮车顶膜侧边柱贴膜高亮镜黑改色膜']"
83,59,车型|销量|中高级|奥赛车,"['车型', '销量', '中高级', '奥赛车', '亚洲狮', '库巴', '速腾', '迈腾', '马里', '轿车']","['除了我们耳熟能详的飞度和奥德赛,还少不了家喻户晓的中高级轿车销量','马里奥赛车库巴城堡马里奥赛车项目的诞生花了六年,项目位于库巴城堡','自媒体正文自主suv中,少有的销量能呈现上涨的车型.']"
84,57,胶囊|服液|说明书|清热,"['胶囊', '服液', '说明书', '清热', '龙补', '夜盲症', '滴剂', '释片', '钠肠', '维生素ad']","['富德康盆炎净口服液无糖型10ml6支清热利湿和血','脑络通胶囊学术九脑络通胶囊联合依达拉奉治疗急性脑','清热解毒步长清热解毒胶囊0.3g18粒2板']"
85,56,摆件|茶壶|玻璃|茶具,"['摆件', '茶壶', '玻璃', '茶具', '创意', '陶瓷', '大号', '套装', '复古', '茶杯']","['查看淘宝倒流香炉陶瓷创意摆件大号思马光砸缸小和尚家用茶道塔檀香','安成德化纯手工白瓷茶壶大号陶瓷功夫茶具包邮','寻砂记宜兴紫砂壶纯手工名家功夫茶壶紫砂茶具套装泡茶壶潮汕家用小品']"
86,54,自动|0l|华型|适型,"['自动', '0l', '华型', '适型', '豪华型', '2013', '柴油', '2015', '手动', '英型']","['帕杰罗进口2015款3.0l自动豪华版国v','8t自动豪华型23.50万优信二手车','长安铃木奥拓2013款1.0l自动豪华型']"
87,54,以免|污染|清洁|气体,"['以免', '污染', '清洁', '气体', '甲醛', '乙醇', '营养盐', '消毒', '毛皮', '热值']","['由于二氧化碳灭火器为纯气体,灭火后不会留下痕迹,不毁坏物质,因此','但要注意不要用手投加,而应用鼓风设备吹入,以免发生人身事故.','如果条件允许,最好每月清洁一次,避免空调内积存的病菌或霉菌扩散到']"
88,53,文物|保存|雕刻|完好,"['文物', '保存', '雕刻', '完好', '考古', '历史', '明王', '散水', '博物馆', '建筑']","['马踏飞燕的出名不仅仅是因为这件文物具有历史故事和考古价值,还','各层八面屋檐的角檐下雕刻精神的施角鱼,垂灯和象鼻,雕刻精美.','门楣则多半以砂岩为建材,因此许多精彩的门楣雕刻都保存完好.']"
89,52,照顾|打工|女儿|母亲,"['照顾', '打工', '女儿', '母亲', '一边', '零用钱', '生活费', '孩子', '聂远', '直到']","['直到高考结束,刘婷依旧每天悉心照顾着母亲.','他带着生病的母亲,一边打工,一边求学.','那两年,任江隆一边照顾老人,一边打工挣钱.']"
90,52,规划|城市|规划图|新城,"['规划', '城市', '规划图', '新城', '巴士', '建设', '改造', '板块', '同城化', '旧村']","['建德市桥南新城控制性详细规划修编草案公示','核心提示菏泽港总体规划获省政府批复,规划依托四条航道建设巨野','三明市城市物流园控制性详细规划调整公示']"
91,51,电动机|插座|开关|微动,"['电动机', '插座', '开关', '微动', '试验机', '相序', '断相', '接线图', '电路', '异步']","['ft1220mc端子微动摩擦试验机插拔力试验机苏州菲','电动机水泵断相与相序保护继电器缺相保护xj3gac380','公牛明装开关插座三孔插座16a空调86型大功率明线盒3孔电源面板']"
92,51,点击|界面|页面|按钮,"['点击', '界面', '页面', '按钮', '弹出', '登录', '选择', '进入', '输入', '浏览器']","['第四步,点击马上体验,直接进去申请界面.','进入我的内容界面找到余额宝并点击进入','在用户管理界面中点击添加用户界面,这里有三种开锁方式可供选择,小']"
93,51,本店|运费|售后|发货,"['本店', '运费', '售后', '发货', '商品', '退换', '保修', '客户', '退货', '理由']","['关于售后我们为每件衣服都购买了运费险所以亲们可以完全放心购买','方方面面做到最好售后支持7天无理由退货,赠送运费险','运费在线支付免运费服务由迈亚家具官方旗舰店发货并提供售后']"
94,51,亏损|巨头|套现|年报,"['亏损', '巨头', '套现', '年报', '上市', '2000亿', '营收', '跑路', 'st', '债务']","['滴滴冲刺上市3年亏损353亿却造出个日本首富','又一地产大鳄要凉公司被2000亿债务压垮老板套现131亿','康芝药业年报遭问询频繁收购亏损公司,商誉减值疑云难消']"
95,50,2厅|3室|2室|1厅,"['2厅', '3室', '2室', '1厅', '平米', '手房', '4室', '1室', '93', '云岩区']","['沙溪华庭3室2厅7689万二手房图片','平安县城西平化小区2室2厅1卫93.13平米','定州市城西星河蓝湾2室2厅1卫93.78平米']"
96,50,电脑|开机|手机|怎么,"['电脑', '开机', '手机', '怎么', '百度', '黑屏', '声卡', '怎么办', 'qq', '系统']","['联想电脑开机出现一串英文,如图片怎么解决,求高手出招,在线等','电脑开机时非正常开机?应该怎么处理啊,请大神指教.','电脑开机后黑屏电脑黑屏电脑进不了系统怎么办']"
97,49,成交|楼市|限购|房价,"['成交', '楼市', '限购', '房价', '新房', '二手房', '下滑', '学区房', '房贷', '环比']","['天津强势推出取消房屋限购限购松绑房贷放宽契税下调','继4月8日珠海楼市限购升级,在全市范围内将全部住宅户型纳入限购.','2021房价预测丨一线城市二手房楼市北京房价深圳']"
98,49,农家|辣椒|特产|调料,"['农家', '辣椒', '特产', '调料', '零食', '虾片', '香辣', '酸辣粉', '花椒', '真空']","['酸辣椒泡椒泡朝天椒农家自制新繁老坛350g四川泡红','烟台新海水产香辣鱿鱼仔海味休闲即食海鲜零食特产10斤散装','贵州特产柴火糊辣椒粉农家手搓辣椒面煳辣椒蘸水辣椒调料250g包邮']"
99,49,养老|社保|养老金|缴费,"['养老', '社保', '养老金', '缴费', '保险', '账户', '缴纳', '退休', '职工', '城乡']","['统一确定机关事业单位和企业职工基本养老保险个人账户记账利率,每年','2019年社保缴费新政策石家庄2018年养老保险新规定','城乡居民养老保险缴费时间什么是城乡居民基本养老保险']"
100,49,0|开工|项目|用地|面积,"['开工', '项目', '用地', '面积', '投资', '平方米', '集中', '公顷', '重大', '41']","['3亿元.西充重大项目集中开工','仁寿7个重大项目集中开工.','3亿元.据悉,此次集中开工的项目投资均在5000万元以上.']"
101,49,1|管理|企业|沟通|凝聚力,"['管理', '企业', '沟通', '凝聚力', '职场', '员工', '流程', '团队', 'docx', '狼性']","['通过运用现代企业管理的方法和手段来进行经营决策和有效管理','凝聚力与向心力一个高绩效团队的向心力和凝聚力作用','高效能人士的七个习惯有效沟通是企业经营管理和我们个人在社会生活']"
102,49,2|售楼处|电话|地址|售楼,"['售楼处', '电话', '地址', '售楼', '楼处', '详情', '楼盘', '中介', '官网', '租房']","['桐庐云湖天境售楼处电话桐庐云湖天境售楼处电话电话','首页碧桂园星悦里售楼处电话地址售楼.','官网广州星河湾区壹号售楼处电话售楼处位置房源价格']"
103,47,3|化学|ppt|反应|及其,"['化学', 'ppt', '反应', '及其', '聚变', '泵站', '首台', '一体化', '制备', '合物']","['中空微纳米结构材料的制备及其在超级电容器领域的应用中国粉体网','稀土金属卡宾配合物化学研究新进展','期刊熔融共聚法用外消旋乳酸直接合成聚乙醇酸乳酸及其表征被引量']"
104,47,4|拍摄|亮度|镜头|摄影,"['拍摄', '亮度', '镜头', '摄影', '相机', '人像', '调整', '远近', '出光', '要么']","['是可以关闭,调整亮度,跟颜色选择的rgb三种颜色','ansi亮度是画面对亮部及暗部细节展现最为清晰时的亮度标准.','可调整图片的亮度,对比度,打印出来效果还是不错的']"
105,46,5|零售|互联网|电商|消费,"['零售', '互联网', '电商', '消费', '跨境', '进化', '抖音', '美团', '叮当', '餐饮店']","['滴滴获40亿融资,京东发布拍拍二手平台,新华书店入局新零售','抖音派vs快手派流量为王,抢占互联网消费市场','而叮当叮当,也就是这成长期企业中之一,互联网线上线下新零售模式']"
106,46,6|画出|画上|小球|复勒,"['画出', '画上', '小球', '复勒', '八度', '火柴棒', '斜面', '右上角', '小狗', '冰糖']","['斜面斜角为,上边放一个光滑的小球,用和斜面平行的绳把小球系住','浓胭脂在正叶中间一条主筋上复勒,只要复勒到二分之一处就可以了,且','首先在左边画出一个宇航员和露出的半个地球轮廓,右上角画出一个半圆']"
107,45,7|收藏|热线|第1|7788,"['收藏', '热线', '第1', '7788', '价格', '银元', '0000', '中国', '第2', '二分']","['大龙船第1张7788收藏中国收藏热线','0000元人名收藏第2张7788收藏中国收藏热线','名人价格元第1张中国收藏热线']"
108,44,8|客户|深受|畅销|广大,"['客户', '深受', '畅销', '广大', '理念', '宗旨', '产品', '服务', '诚信', '专业']","['精益求精的质量意识,为广大客户提供更全面,更优质的服务','产品畅销全国,并出口世界二十多个国家和地区深受海内外客户信赖.','经过十几年品牌沉淀,用最专业的服务理念为广大客户提供房产咨询']"
109,44,9|肩包|女包|斜挎|包包,"['肩包', '女包', '斜挎', '包包', '钱包', '韩版', '牛皮', '背包', '新款', '单肩包']","['红谷小巧马鞍包斜挎包单肩包牛皮包包','女包2017新款包包女欧美大气定型时尚女包斜挎单肩手提包一件代发','雅格莱诗包包2014新款女包时尚休闲韩版女单肩包欧美']"
110,43,0|韩版|男士|新款|拖鞋,"['韩版', '男士', '新款', '拖鞋', '休闲', '高跟', '凉鞋', '凉拖', '软底', '网面']","['2014秋款正品奥康男鞋男士休闲皮鞋软底套脚真皮驾车豆豆鞋单鞋潮','马尔杜克新款冬季男士英伦休闲真皮马丁靴工装鞋潮流行男靴子韩版g','2021春新品韩版尖头粗跟女半拖鞋时尚百搭试衣间高跟一脚蹬懒人鞋']"
111,42,1|规定|义务|权利|合同法,"['规定', '义务', '权利', '合同法', '合同', '刑法', '行政', '诉讼费', '复议', '劳动']","['敦促本县被执行人依法主动履行义务,现根据法律,司法解释的有关规定','第28条规定被征收人在法定期限内不申请行政复议或者不提起行政诉讼','当事人应当基于合同的约定行使权利,履行义务']"
112,42,2|保险|疾险|人寿|寿险,"['保险', '疾险', '人寿', '寿险', '报案', '保障', '保险网', '安盛', '审车', '城保']","['保险分类1保险小白必学之保险分类概述','婴儿能买保险吗平安保险婴儿保险','什么是人寿险,人寿保险有哪些类型?']"
113,41,3|男人|女人|婚姻|中枪,"['男人', '女人', '婚姻', '中枪', '说明', '越是', '吵架', '感情', '约会', '好的']","['真正的好男人从来不帮女人做家务因为','男人最想亲女人11个部位','男人最怕女人说什么男人最怕女人说什么']"
114,41,4|芯片|台积电|华为|垄断,"['芯片', '台积电', '华为', '垄断', '汽车', '半导体', '涨价', '千亿', '美国', 'ai']","['汽车芯片科技含金量不高囤积汽车芯片的人可能输得很惨','比芯片垄断更可悲,全球芯片专家名单确定,前6名全部是','比芯片垄断更可悲,全球芯片专家名单确定,前6名全部是']"
115,40,5|产业|发展|农业|绿色,"['产业', '发展', '农业', '绿色', '推动', '不断', '构建', '推进', '渔业', '资源']","['草原之门是文旅发展,精准扶贫,产业科创的现代农业综合性创新产业园','资源综合利用等产业,成都加快构建碳中和产业生态圈,支撑城市功能','着力培育盐化产业扩展区,金属材料产业集聚区,物流产业集成区和高新']"
116,40,6|河头村|风情|历史|遗忘,"['河头村', '风情', '历史', '遗忘', '文化', '壮族', '台州', '古镇', '人文', '看梅县']","['壮族三月三八桂嘉年华感党恩跟党走首届中旅花山岩画骆越祈福祭祀大典','方家河头村被时间遗忘的古村落方家河头村河头古村位于慈溪的龙山镇','嘉大驻校艺术家人名重塑兰潭校区迷你石板古庙土地公及虎爷金身过程']"
117,39,7|好吃|吃到|面包|扒皮,"['好吃', '吃到', '面包', '扒皮', '这里', '大暑', '小吃', '味道', '菜馆', '日料']","['店里面包品种很多,有每天新鲜出炉的现烤面包,也有包装精美的糕点.','好吃好吃,品种还很多超级.是我去外地坐车必带吃的','不知道是因为这里的面包长得好看,种类多,味道独特,还是因为这里的']"
118,38,8|人名|虚竹|真心|明日,"['人名', '虚竹', '真心', '明日', '戏如', '接话', '狼子', '深陷人', '派大', '此例']","['聊到应该给女生出一本防渣男手册,杨迪接话钱枫哥主编.','戏内戏外皆是自杀结局,人名星人名49岁的戏如人生落幕','五虎中的人名和人名,分别饰演虚竹和段誉,此外还有人名扮演的']"
119,38,9|街拍|美女|身材|性感,"['街拍', '美女', '身材', '性感', '牛仔裤', '紧身', '迷人', '气质', '白色', '穿着']","['街拍蓝色紧身裤配白色短袖t恤的美女,做教练的身材都这样好吗','街拍穿着牛仔裤粉色吊带的美女,穿着很清凉性感.','街拍美女高挑紧身牛仔裤时尚气质漂亮女郎,这身材真是羡煞旁人']"
120,37,0|做法|豆果|食谱|菜谱,"['做法', '豆果', '食谱', '菜谱', '怎么', '好吃', '图解', '大全', '炒意粉', '戚风']","['白酒椰汁青口的做法菜谱豆果美食','孕妇食谱大全及做法孕妇清淡营养菜谱大全','豆腐的做法大全推荐七款豆腐美味的做法2']"
121,37,1|正版|出版社|新华|出版,"['正版', '出版社', '新华', '出版', '名著', '国学', '经典', '漫画书', '畅销书', '书店']","['新华书店我决定简地生活从断舍离到极简主义全新正版','泰戈尔诗选唐诗三百首艾青诗选书正版包邮初中版人民教育出版社人教','全新正版那山那水人名红旗出版社全新正版']"
122,36,2|箱子|往前|只见|漂浮,"['箱子', '往前', '只见', '漂浮', '大街', '师傅', '走到', '老虎', '组成', '疯似']","['时间差不多了,他换上一件类似雨衣的半透明衣服,拖着一个箱子走到','虽然体格小的,但干起活来丝毫不拖泥带水,指哪开哪,穿街走巷.','他们来到村口,只见小兵张嘎塑像包着头巾,右臂高扬.']"
123,36,3|加盟|创业|赚钱|加盟费,"['加盟', '创业', '赚钱', '加盟费', '水果店', '喜爱', '投资', '招商', '盈利', '成功']","['瑞思学科英语怎么加盟?加盟电话多少?','多喜爱儿童家具加盟代理招商多喜爱加盟费多喜爱儿童家具加盟店','数字招商加盟费数字招商加盟费用,是对投资人从成功入手数字经营开始']"
124,36,4|原石|翡翠|和田玉|吊坠,"['原石', '翡翠', '和田玉', '吊坠', '天然', 'a货', '籽料', '精品', '手串', '挂件']","['现货一溪云缅甸天然老坑a货翡翠悟道冰种老蓝水吊坠挂','籽说新疆和田玉天地枣红皮青花籽料原石26克特色精品','莫湾基莫西沙翡翠原石毛料切片明料春带彩雪花棉满绿手镯料']"
125,36,5|央行|经济|美国|货币,"['央行', '经济', '美国', '货币', '利率', '复苏', '增长', '新高', '比率', '强势']","['央行定向降息中国利率能否顶住压力?','欧洲经济前景黯淡欧央行行动压力与日俱增','爱华美联储带头降息,各国央行紧跟其后,全球经济何去']"
126,35,6|简约|茶几|现代|客厅,"['简约', '茶几', '现代', '客厅', '实木', '桌子', '欧式', '沙发', '卧室', '轻奢']","['茶几现代简约可移动家用小户型圆桌经济型创意时尚边几多功能茶台','实木圆角几套桌咖啡桌边几白橡简约时尚小茶几现代小户型茶几','新款茶几简约现代钢化玻璃茶几客厅小户型创意正方形茶几批发销售']"
127,35,7|不错|收到|一模一样|车子,"['不错', '收到', '一模一样', '车子', '实惠', '反正', '实物', '商家', '送运', '费险']","['8分,送运费险我印象中之前的活动价是99吧,反正不比89低','来自6欢产品收到店家服务不错,精确度很好.','好货如云兼容乐高图片和实物一模一样,比乐高性价比高的太多了']"
128,35,8|墓葬|墓主|皇陵|挖出,"['墓葬', '墓主', '皇陵', '挖出', '地宫', '秦始', '古代', '文物', '古墓', '至今']","['河北挖出果郡王允礼陵墓考古学家出来后为何决定永久关闭地宫','甘肃挖出一豪华古墓葬.','陕西古墓发现27吨文物,墓主身份难倒专家,围观村民我']"
129,35,9|壁纸|桌面|风景|种植,"['壁纸', '桌面', '风景', '种植', '成片', '动物', '鸟鸟', '类雀', '竖版', '竖屏']","['壁纸成片种植风景植物种植基地桌面38062538','壁纸成片种植风景植物种植基地桌面600269','啦啦啦壁纸']"
130,34,0|科学院|学院|大学|工程院,"['科学院', '学院', '大学', '工程院', '院士', '研究员', '研究院', '教授', '院长', '协会']","['中国科学院院士,清华大学物理系教授段文晖这些年新疆在经济建设','中国科学院计算机所研究员中国工程院人名院士发表推进网信领域','中国工程院院士,中国科学院海洋研究所研究员人名作了']"
131,34,1|玩具|公仔|纯种|活体,"['玩具', '公仔', '纯种', '活体', '毛绒', '卡通', '幼猫', '罗猫', '迷你', '矢量']","['纯种泰国猫暹罗猫活体淡紫色宠物小猫咪幼猫海豹蓝','新安抚w娃玩具毛绒独角q兽儿童公仔通用陪伴n中影投性','正版q版米老鼠唐老鸭泡沫粒子公仔米奇米妮毛绒玩具儿童节礼物女']"
132,34,2|增值税|执照|备案|办理,"['增值税', '执照', '备案', '办理', '税务', '机动车', '发票', '缴税', '缴纳', '筹划']","['现机动车所有人的身份证明机动车所有权转移的证明,凭证属于海关','营业执照,税务登记证,组织机构代码三种证件,合为了一张执照.','建筑行业核心税务问题和筹划应对之策增值税发票']"
133,33,3|店铺|购物|销售|粘性,"['店铺', '购物', '销售', '粘性', '触及', 'z世代', '显而易见', '流量', '消费者', '战力']","['根据库润数据发布的z世代消费观报告显示,z世代人群在购物时','案例2学员电脑端店铺后台数据反馈,其中pc端成交额为874.','做淘宝我们可以简单的成为赛马机制,也就是店铺流量和店铺权重,以及']"
134,33,4|返回|查看|更多|搜狐,"['返回', '查看', '更多', '搜狐', '来源', '编辑', '回搜', '公众号', '编审', '责任']","['信息来源全州呱喇婆视频来源央视新闻频道返回搜狐,查看更多','来源nmtv新闻天天看返回搜狐,查看更多','用最贴心的文字温暖最真实的你返回搜狐,查看更多']"
135,33,5|航空|波音|飞机|空客,"['航空', '波音', '飞机', '空客', '客机', 'arj21', '航班', '航线', '客a', '飞机票']","['a319飞机模型空客3u8633电影同款四川航空中国机长','成都航空arj21飞机新开3条航线,运营范围进一步扩大','波音客机客机飞机空中客车空客航空']"
136,33,6|钢琴|吉他|简谱|曲谱,"['钢琴', '吉他', '简谱', '曲谱', '第四十五', '拜厄', '鼓谱', '弹奏', '独奏', '琴谱']","['双手弹奏钢琴简谱pocketpiano掌上钢琴弹奏琴谱','拜厄钢琴基础书中第四十五条钢琴谱','拜厄钢琴基础书中第四十五条钢琴谱']"
137,33,7|石壁|山上|此处|山顶,"['石壁', '山上', '此处', '山顶', '境内', '长安', '故地', '寻迹', '宏一', '官道']","['骑迹首日魏武故地,华佗故里,涡阳老子,名人寻迹,夜宿紫光','东台顶人名,北台顶叶斗峰,中台顶翠岩峰,西台顶挂月','石壁三山即宁化县石壁北面的狮子峰,升仙台,双极峰,山顶均建有']"
138,32,8|物架|展架|美容院|衣架,"['物架', '展架', '美容院', '衣架', '梳子', '放锅', '收纳', '文件', '厨房', '批发']","['鞋店鞋子货架展示架鞋包展示柜商城店铺落地鞋架多层展架四川成都','沐宣棠搁物架货物不锈钢厨房用品置物架落地多功能三层放锅架微波炉','欧润哲晾衣架伸缩落地折叠三脚款房间阳台挂衣架衣服收纳架视频']"
139,32,9|陈情令|蓝忘机|人名|家庭,"['陈情令', '蓝忘机', '人名', '家庭', '戴杏芬', '汪苏泷', '毕雯', '汉险', '江澄门', '玄冥']","['陈情令,蓝忘机,人名,肖战','陈情令魏无羡江厌离谈心,江澄门外偷听','石玉听雪楼长老,忘川中去拜月教邀回苏微时中了原重楼的傀儡术']"
140,32,0|微风|置身|夜幕|木质,"['微风', '置身', '夜幕', '木质', '金色', '眼前', '仿佛', '秋天', '呈现', '之中']","['莫上隐就那么亭亭娟秀地伫立在翠竹环绕中,仿若未受世间尘事惊扰的','夜幕降临,僧人在茅屋中独自敲磐诵经,闲适的靠着一枝青藤与他交谈.','霞光的橙色,长空的蓝色,山峦的黛色一起细致地涂染密密泛起的湖水']"
141,31,1|常识|注意|这些|真假,"['常识', '注意', '这些', '真假', '陈列', '知道', '夏季', '警惕', '忽视', '要点']","['注意天燃气的这些潜在危险要警惕','有车一族得注意夏季用车忽视这些可能出大问题','节能宣传周低碳生活,别忽视了这些小事东山']"
142,30,2|周年|祖国|建党|纪念,"['周年', '祖国', '建党', '纪念', '庆祝', '献礼', '英模', '华诞', '中风', '国防']","['中国首部反映高铁发展的史诗巨献飞速时代献礼建党一百周年','剪纸哥多幅剪纸作品献礼建党95周年','庆祝新中国成立70周年征文三等奖我和我的祖国']"
143,29,3|双色球|彩民|号码|彩票,"['双色球', '彩民', '号码', '彩票', '大奖', '开出', '红球', '第2021097', '飞艇', '开奖']","['张家港彩民10元击中双色球137747元号码是随意选的','盘点双色球大奖彩票彩民幸运总是那么相似','今天双色球开什么百度知道']"
144,29,4|房价|楼盘|买房|中山,"['房价', '楼盘', '买房', '中山', '价比', '15531', '感学', '兰庭', '千真万确', '君悦']","['万科物业进驻后这个小区房价肉眼可见地涨了中介直言性价比高','2018年过半.合肥的房价又涨.各小区最新房价出炉,你家','蓬溪最新房价出炉.有的楼盘价格居然降了.最便宜的是']"
145,29,5|早安|早上|祝福|朋友圈,"['早安', '早上', '祝福', '朋友圈', '句子', '说说', '问候', '图片', '带字', '福语']","['2020早上好祝福图片表情动画微信漂亮的早安图片大全','适合早上发的朋友圈早安说说,早上','早安语录励志朋友圈早安正能量句子']"
146,29,6|鬼泣|出航|铁拳|骑士,"['鬼泣', '出航', '铁拳', '骑士', '恶魔', '机甲', '猎人', '番境界', '神威x', '祭cg']","['暗源周年事机2.75寸兵人套装联队新宙斯兵人专区','偶像梦幻祭cg第六期出航.扬帆的海贼祭出航.','金刚铁拳时空猎人机甲起源史']"
147,29,7|意蕴|一幅幅|书法|追求,"['意蕴', '一幅幅', '书法', '追求', '艺术', '绘画', '承载', '手法', '作品', '历程']","['于是他解构常见的纸币,并用其并凑出一幅幅令人咋舌的艺术作品.','随着人们审美品位的提升,书法这一有着不凡意蕴的艺术品类,也在逐渐','富于东方意趣,诗性意蕴的山水画,其形式不仅承载着古人之于道的追求']"
148,29,8|容貌|出众|大方|扮相,"['容貌', '出众', '大方', '扮相', '清丽', '气质', '身上', '淑女', '清纯', '五官']","['也素有着与其姐不相上下的容貌,但眉眼间的媚态却比起姐更加勾人.','阿绣容貌清丽,温柔善良,斯文有礼,她和石破天两个是彻头彻尾的良善','气质出众,容貌姣好,冰冷傲骨,有着难以置信的执着信念']"
149,29,9|党支部|党史|学习|党建,"['党支部', '党史', '学习', '党建', '史悟', '生活会', '召开', '学党', '机关', '组织']","['石景山区纪委监委机关党委各党支部召开专题组织生活会','工作动态市金融办机关党支部召开党史学习教育会','光山县人民医院行政后勤党支部开展党史学习教育专题组织生活会']"
150,29,0|宣传|开展|新风|活动,"['宣传', '开展', '新风', '活动', '禁毒', '文明', '文明树', '公益', '实践站', '移风易俗']","['围墙上讲文明树新风公益广告.图片来源湖州文明网','围墙上讲文明树新风公益广告.图片来源湖州文明网','禁毒宣传石帆街道开展禁毒宣传进文化礼堂活动']"
151,29,1|太阳系|太阳|亮度|冥王星,"['太阳系', '太阳', '亮度', '冥王星', '恒星', '星系', '行星', '天文', '月球', '存在']","['矮行星是介于大行星和小行星之间的一类行星,其中的代表就是冥王星','恒星,太阳,星系,重元素,行星','远在太阳系边疆的冥王星,看太阳变成了星星,那还存在白天吗?']"
152,29,2|中秋|端午节|粽子|diy,"['中秋', '端午节', '粽子', 'diy', '香囊', '月饼', '元旦', '礼盒', '吃水', '赏月']","['赏月吃月饼中秋的仪式感一个不能少李子柒中秋礼盒满满中秋新意','端午节日程给你安排上了.领粽子,做香囊,还能diy美食','端午节粽子diy服务的活动类型']"
153,28,3|变速|货车|900682|epbrs555sh,"['变速', '货车', '900682', 'epbrs555sh', '500333', '500230', '500332', '650718', '650570', '550450']","['5米双压升级款铜管1010l','苏卫食证字2007第320000060029号','后变飞轮钩小自行短拨改装专用变速变速拨3拨臂档车后']"
154,28,4|壁纸|高清|桌面|唯美,"['壁纸', '高清', '桌面', '唯美', '电脑', '大全', '美图', '丁禹兮', '手机', '风景']","['个性十足充满创意的3d形象电脑桌面壁纸高清','变身牛牛高清电脑桌面壁纸','精选唯美风景自然风景高清护眼小清新桌面壁纸下载']"
155,28,5|作弄|性子|她们|嗜酒,"['作弄', '性子', '她们', '嗜酒', '恭恭敬敬', '爷平', '怀着', '多嘴', '小婶', '小孩们']","['小孩们畏惧她捉摸不定的说辞,大人们难堪她突如其来的古怪.','孟芳生性机灵,又嫉恶如仇,碰见那些坑蒙拐骗的家伙,总想作弄作弄.','严辉歉意地看着柏慧说,赵琦就是那种蛮不讲理的性子.']"
156,28,6|开启|称之为|并非|意经,"['开启', '称之为', '并非', '意经', '盛爱颐', '虚无缥缈', '坦途', '谈资', '之实', '造富']","['虽然这样的观点有失偏颇,不能一棍子打死,和尚里面当然也有着瘦子','遇言姐这样说并非同情凶手,而是感叹,消除贫穷任重而道..','杨烁从籍籍无名到邀约不断,他的成功并不是天上掉馅饼,而是不断超越']"
157,28,7|完整|全集|1080p|播放,"['完整', '全集', '1080p', '播放', '在线', '观看', '免费', '中字', '电视剧', '高清']","['扫黑风暴电视剧在线完整播放完整加长版1080p中文字','电视剧长歌行在线完整播放全集全已更新1080p清晰','怒火重案在线完整播放全集已更新1080p高清']"
158,28,8|月球|嫦娥|太空|飞船,"['月球', '嫦娥', '太空', '飞船', '阿波罗11', '玉兔号', '滴答', '三号', '探月', '五号']","['彭兢表示,在完成探月工程三期任务后,我国还计划对月球进行更为深入','查学雷在八院嫦娥五号试验队队旗上签字嫦娥五号探测器是迄今为止','原创月球马拉松7天倒计时.印度月船2号优势突出,嫦娥四号捷足先登']"
159,27,9|增长|同比|增加值|少增,"['增长', '同比', '增加值', '少增', '实际', '存款', '总值', '扣除', '26', '百分点']","['2亿元,增长26规上工业增加值40亿元,增长10.','94亿件,同比增长26投递快递包裹近5亿件,同比增长22.','6.6月份,规模以上工业增加值同比实际增长8.']"
160,26,0|腕表|男表|手表|实金,"['腕表', '男表', '手表', '实金', '女表', '机械', '自动', '正品', '石英表', '表防']","['正品海琴男士手表男表机械表商务镶钻满天王星情侣表男式腕表名表','峰浪fenlon手表女表专柜正品女士手表钨钢陶瓷腕表','佰达利正品简约时尚皮带情侣款手表防水石英表商务休闲真皮男表女表']"
161,26,1|路段|大道|双向|南环,"['路段', '大道', '双向', '南环', '金家湾', '8车道', '公路', '国道', '交叉口', '隧道']","['107国道小刘桥3.中州大道商鼎路下穿隧道2.东三环经北六路1.','川东路陈岭路段铁路桥处道路塌方,该路段已是半封闭状态屋厦桥至北环','其中对南环交叉口约200米路段进行展宽渠化改造,由双车道改为四']"
